AREA_SQMI,COUNTY,GEOM.coordinates,GEOM.type,ID_BLOCK,ID_BLOCK_CODE,ID_EBD_NAME,ID_NCBA_BLOCK,ID_OLD_ID,ID_S123_NOSPACES,ID_S123_NOSPACES_TEMP,ID_S123_SPACES,ID_S123_SPACES_TEMP,ID_WEB_BLOCKMAP,NW_X,NW_Y,POSITION,PRIORITY,QUADID,QUAD_BLOCK,QUAD_NAME,REGION,SE_X,SE_Y,SUBNAT2,TYPE,_id
10.07606481,YANCEY,"[[[-82.31251117,35.87502094],[-82.31251117,35.83335431],[-82.25001074,35.83335431],[-82.25001074,35.87502094],[-82.31251117,35.87502094]]]",Polygon,MOUNT MITCHELL-NE,35082G3NE,Mount Mitchell NE,MOUNT_MITCHELL-NE,Mount-Mitchell-NE,Mount_Mitchell_NE,Mount_Mitchell_NE,Mount Mitchell NE,Mount Mitchell NE,Mount Mitchell NE,-82.31251117,35.87502094,Inside,0,35082g3,NE,MOUNT MITCHELL,8,-82.25001074,35.83335431,US-NC-199,Non-priority,35082G3NE
10.07608566,YANCEY,"[[[-82.37501173,35.87502087],[-82.37501173,35.83335426],[-82.31251116,35.83335426],[-82.31251116,35.87502087],[-82.37501173,35.87502087]]]",Polygon,MOUNT MITCHELL-NW,35082G3NW,Mount Mitchell NW,MOUNT_MITCHELL-NW,Mount-Mitchell-NW,Mount_Mitchell_NW,Mount_Mitchell_NW,Mount Mitchell NW,Mount Mitchell NW,Mount Mitchell NW,-82.37501173,35.87502087,Inside,0,35082g3,NW,MOUNT MITCHELL,8,-82.31251116,35.83335426,US-NC-199,Non-priority,35082G3NW
10.08615531,YANCEY,"[[[-82.31251123,35.7916877],[-82.31251123,35.75002103],[-82.25001079,35.75002103],[-82.25001079,35.7916877],[-82.31251123,35.7916877]]]",Polygon,MOUNT MITCHELL-SE,35082G3SE,Mount Mitchell SE,MOUNT_MITCHELL-SE,Mount-Mitchell-SE,Mount_Mitchell_SE,Mount_Mitchell_SE,Mount Mitchell SE,Mount Mitchell SE,Mount Mitchell SE,-82.31251123,35.7916877,Inside,1,35082g3,SE,MOUNT MITCHELL,8,-82.25001079,35.75002103,US-NC-199,Priority,35082G3SE
10.08617184,BUNCOMBE,"[[[-82.37501168,35.7916877],[-82.37501168,35.75002105],[-82.31251116,35.75002105],[-82.31251116,35.7916877],[-82.37501168,35.7916877]]]",Polygon,MOUNT MITCHELL-SW,35082G3SW,Mount Mitchell SW,MOUNT_MITCHELL-SW,Mount-Mitchell-SW,Mount_Mitchell_SW,Mount_Mitchell_SW,Mount Mitchell SW,Mount Mitchell SW,Mount Mitchell SW,-82.37501168,35.7916877,Inside,0,35082g3,SW,MOUNT MITCHELL,9,-82.31251116,35.75002105,US-NC-021,Non-priority,35082G3SW
10.15747188,DUPLIN,"[[[-78.06250746,35.20835441],[-78.06250746,35.16668772],[-78.00000726,35.16668772],[-78.00000726,35.20835441],[-78.06250746,35.20835441]]]",Polygon,MOUNT OLIVE-CE,35078B1CE,Mount Olive CE,MOUNT_OLIVE-CE,Mount-Olive-CE,Mount_Olive_CE,Mount_Olive_CE,Mount Olive CE,Mount Olive CE,Mount Olive CE,-78.06250746,35.20835441,Inside,0,35078b1,CE,MOUNT OLIVE,2,-78.00000726,35.16668772,US-NC-061,Non-priority,35078B1CE
10.15743614,WAYNE,"[[[-78.12500745,35.20835441],[-78.12500745,35.16668769],[-78.06250746,35.16668769],[-78.06250746,35.20835441],[-78.12500745,35.20835441]]]",Polygon,MOUNT OLIVE-CW,35078B1CW,Mount Olive CW,MOUNT_OLIVE-CW,Mount-Olive-CW,Mount_Olive_CW,Mount_Olive_CW,Mount Olive CW,Mount Olive CW,Mount Olive CW,-78.12500745,35.20835441,Inside,0,35078b1,CW,MOUNT OLIVE,3,-78.06250746,35.16668769,US-NC-191,Non-priority,35078B1CW
10.152324,WAYNE,"[[[-78.06250746,35.25002094],[-78.06250746,35.20835436],[-78.00000716,35.20835436],[-78.00000716,35.25002094],[-78.06250746,35.25002094]]]",Polygon,MOUNT OLIVE-NE,35078B1NE,Mount Olive NE,MOUNT_OLIVE-NE,Mount-Olive-NE,Mount_Olive_NE,Mount_Olive_NE,Mount Olive NE,Mount Olive NE,Mount Olive NE,-78.06250746,35.25002094,Inside,0,35078b1,NE,MOUNT OLIVE,3,-78.00000716,35.20835436,US-NC-191,Non-priority,35078B1NE
10.15228524,WAYNE,"[[[-78.12500745,35.25002087],[-78.12500745,35.20835431],[-78.0625074,35.20835431],[-78.0625074,35.25002087],[-78.12500745,35.25002087]]]",Polygon,MOUNT OLIVE-NW,35078B1NW,Mount Olive NW,MOUNT_OLIVE-NW,Mount-Olive-NW,Mount_Olive_NW,Mount_Olive_NW,Mount Olive NW,Mount Olive NW,Mount Olive NW,-78.12500745,35.25002087,Inside,0,35078b1,NW,MOUNT OLIVE,3,-78.0625074,35.20835431,US-NC-191,Non-priority,35078B1NW
10.1625852,DUPLIN,"[[[-78.06250751,35.16668783],[-78.06250751,35.12502117],[-78.00000726,35.12502117],[-78.00000726,35.16668783],[-78.06250751,35.16668783]]]",Polygon,MOUNT OLIVE-SE,35078B1SE,Mount Olive SE,MOUNT_OLIVE-SE,Mount-Olive-SE,Mount_Olive_SE,Mount_Olive_SE,Mount Olive SE,Mount Olive SE,Mount Olive SE,-78.06250751,35.16668783,Inside,1,35078b1,SE,MOUNT OLIVE,2,-78.00000726,35.12502117,US-NC-061,Priority,35078B1SE
10.16256266,DUPLIN,"[[[-78.12500757,35.16668783],[-78.12500757,35.12502116],[-78.06250746,35.12502116],[-78.06250746,35.16668783],[-78.12500757,35.16668783]]]",Polygon,MOUNT OLIVE-SW,35078B1SW,Mount Olive SW,MOUNT_OLIVE-SW,Mount-Olive-SW,Mount_Olive_SW,Mount_Olive_SW,Mount Olive SW,Mount Olive SW,Mount Olive SW,-78.12500757,35.16668783,Inside,0,35078b1,SW,MOUNT OLIVE,2,-78.06250746,35.12502116,US-NC-061,Non-priority,35078B1SW
